"status_id","text","screen_name","created_at","favorite_count","retweet_count"
1463549308330983424,"MehrFortschrittWagen ist der Titel des Koalitionsvertrages den wir heute gemeinsam mit SPD und FDP vorgestellt haben ","ABaerbock","2021-11-24 16:45:21",1766,91
1461653288378589184,"Der bundesrat hat in dieser dramatischen Lage das Infektionsschutzgesetz einstimmig beschlossen Gut dass jetzt Klarheit und Rechtssicherheit herrschen und die Parteien an einem Strang ziehen Bund und Länder haben jetzt wirksame Instrumente gegen die vierte Welle","ABaerbock","2021-11-19 11:11:14",1524,78
1459868827211210752,"Es droht ein humanitäres Drama für die im Grenzgebiet Belarus gestrandeten Menschen Die Versorgungslage ist schlecht die Kälte setzt ihnen zu – gerade für Kinder Familien und Kranke nicht zu ertragen Humanitäre Soforthilfe ist jetzt am dringlichsten","ABaerbock","2021-11-14 13:00:26",3731,314
1459655494264631296,"Die Staatengemeinschaft hat die Bedrohung der Klimakrise erkannt aber noch lange nicht gebannt Nach der COP braucht es eine neue Dynamik des Machens Aufgabe der nächsten BuReg muss es sein mit anderen Industriestaaten und Akteuren der Wirtschaft gemeinsam voranzugehen ","ABaerbock","2021-11-13 22:52:43",1413,122
1458116375285805056,"Danke eucopresident für das Treffen und das Gespräch zum Stand der Koalitionsverhandlungen mit Robert Habeck und mir Dass wir die großen Fragen unserer Zeit auf europäischer Ebene gemeinsam angehen müssen darin sind wir uns ohne Frage einig ","ABaerbock","2021-11-09 16:56:49",550,34
1458039528963428352,"Ich denke heute am November an den Schrecken von und an das schlimmste Kapitel der deutschen Geschichte Der Antisemitismus ist bis heute nicht aus den Köpfen verschwunden und wir müssen ihn entschieden und in jeder Form bekämpfen niewieder ","ABaerbock","2021-11-09 11:51:27",3035,187
1457647076414828544,"Masel tov und alles Gute den jüdischen Gemeinden zur Grundsteinlegung der neuen Synagoge in Potsdam Jahre nach der Zerstörung der alten Synagoge endlich wieder ein sichtbarer Ort der Religionsausübung und ein wichtiges Zeichen gegen den wachsenden Antisemitismus ","ABaerbock","2021-11-08 09:51:59",918,47
1456172041355382784,"Enver Simsek Abdurrahim Özüdogru Süleyman Tasköprü Habil Kiliç Mehmet Turgut Ismail Yasar Theodoros Boulgarides Mehmet Kubasik Halit Yozgat und Michèle Kiesewetter wurden aufgrund rassistischer oder rechtsextremer Motive vom sogenannten NSU ermordet KeinVergessen","ABaerbock","2021-11-04 08:10:43",4442,380
1452983288595898368,"Herzlichen Glückwunsch Frau Bundestagspräsidentin liebe baerbelbas Alles Gute für Ihr Amt und die Aufgaben die vor Ihnen liegen Bundestag","ABaerbock","2021-10-26 12:59:45",3676,93
1450844224614805504,"Gratulation an Alexej Nawalny zum Sacharovpreis für geistige Freiheit navalny steht für den Kampf gegen Korruption und wirft auch ein Licht auf die mutige russische Zivilbevölkerung amp jene Menschen die jeden Tag für Gerechtigkeit amp Demokratie einstehen","ABaerbock","2021-10-20 15:19:53",2056,131
1450123118236872704,"Herzlichen Glückwunsch an Thomas de Maizière AnjaSiegesmund und Torsten Zugehör zur Wahl in das Präsidium des DEKT Vielen Dank für dieses wichtige Engagement in Zeiten des Wandels des Umbruchs und der Erneuerung inner und außerhalb der Kirchengemeinschaft jetztistdiezeit","ABaerbock","2021-10-18 15:34:28",488,25
