"","text","favoriteCount","created","id","screenName","retweetCount"
"29","Mit der unausgereiften #Verkehrswende treibt man #Deutschland in die #Demobilisierung, enteignet Bürger schleichend… https://t.co/EVH5zYiQcw",1135,2021-10-08 12:47:17,"1446457168392249347","Alice_Weidel",273
"30","12 Staaten fordern die #EU dazu auf, endlich zu handeln, um illegale #Migration einzugrenzen. #Deutschland ist natü… https://t.co/xqPMDbVzUw",3124,2021-10-08 10:41:43,"1446425568778637314","Alice_Weidel",883
"31","#Merkel ist vielfach die Patin des organisierten Verbrechens. An ihrem Erbe werden sich noch Generationen in… https://t.co/6yfvUg6Ys4",2483,2021-10-08 07:06:24,"1446371383227920405","Alice_Weidel",614
"32","Das Urteil des bayerischen Verwaltungsgerichtshofs ist ein wichtiger Meilenstein in der rechtsstaatlichen Auseinand… https://t.co/pYGzKUDs8t",2047,2021-10-07 11:30:28,"1446075449713610762","Alice_Weidel",459
"33","31 Jahre nach der #Wiedervereinigung ist #Deutschland erneut gespalten: In Ost und #West, in ""hell"" und ""dunkel"", i… https://t.co/62R3jqPmqX",3510,2021-10-03 09:02:16,"1444588601308758019","Alice_Weidel",808
"34","Gelungenes Wahlkampffinale der #AfD #BadenWuerttemberg in #Karlsruhe! Herzlichen Dank für die große Unterstützung!… https://t.co/VXTV6ulCxZ",2240,2021-09-25 14:34:59,"1441773230927319043","Alice_Weidel",404
"35","Das mit der ""heißen Phase des Wahlkampfs"" haben @Tino_Chrupalla und ich heute wörtlich genommen: Wir haben uns die… https://t.co/78IZ5vmf6Y",1873,2021-09-23 12:42:44,"1441020203731755012","Alice_Weidel",395
"36","Niemand hat das Recht, Gewalt anzuwenden, weil er sich ungerecht behandelt fühlt. Wir verurteilen dieses abscheulic… https://t.co/dOXTOoqWH5",2223,2021-09-22 12:47:42,"1440659068301963267","Alice_Weidel",411
"37","Was ich mir in den ersten 100 Tagen einer neuen #Regierung wünsche? Dass die #Menschen ihre #Grundrechte vollumfäng… https://t.co/Crvv8R9c8a",4784,2021-09-21 07:57:49,"1440223728009289735","Alice_Weidel",1308
"38","Bei schönstem Wetter konnten wir die Menschen in Neubrandenburg hoffentlich davon überzeugen, am 26. September #AfD… https://t.co/tI3Qf9zTlo",1764,2021-09-17 09:54:47,"1438803612872888320","Alice_Weidel",322
"39","Ob Tankstelle, Supermarkt oder Dienstleistungen - die #Inflation steigt, die Verbraucher bekommen immer weniger für… https://t.co/wsQdoNoajs",2504,2021-09-10 07:37:24,"1436232323217887233","Alice_Weidel",710
"40","@krempp05 @AfDStarnberg Das ist nicht ganz richtig: Es geht bei den Ermittlungen auch um aktuelle Vorwürfe in Sache… https://t.co/TaktrNYWwK",9,2021-09-09 12:05:36,"1435937431996481540","Alice_Weidel",0
"41","@haienH Es geht nicht nur um Herrn Schäubles Zeit, sondern auch um aktuelle Vorgänge rund um #Wirecard. 
[MH / Team Weidel]",56,2021-09-09 11:45:27,"1435932357446586368","Alice_Weidel",3
"42","Razzia im #Finanzministerium: Wie viele Skandale müssen eigentlich noch ans Licht kommen, bis #Bundesfinanzminister… https://t.co/qEL6xdxEff",2214,2021-09-09 11:22:44,"1435926640601833476","Alice_Weidel",739
"43","#BaWü führt ab Montag die #2G-Regel ein, nach der nur #Geimpfte &amp; #Genesene Zugang zu bestimmten öffentlichen Berei… https://t.co/F9uctZm5MO",2850,2021-09-09 08:44:11,"1435886742155010048","Alice_Weidel",722
"44","Der #Bundestag stimmt heute über das „Sondervermögen Aufbauhilfe 2021“ ab. Der Gesetzentwurf enthält jedoch nicht n… https://t.co/mmbQb1iLOO",1372,2021-09-07 12:34:34,"1435219942656380937","Alice_Weidel",373
"45","Nach wie vor wandert jedes Jahr eine Großstadt neu in unser Land ein und direkt in unsere Sozialsysteme. Die Grünen… https://t.co/eluive9zWO",3253,2021-09-07 12:18:19,"1435215853168041991","Alice_Weidel",848
